01 Jul,23.2,19.4,18.10,16.80,0.00,13.0,4.85,1015.20,1013.10
02 Jul,23.8,19.0,18.70,17.20,0.80,8.0,2.57,1014.30,1012.50
03 Jul,27.3,20.1,18.80,9.20,0.00,6.7,1.22,1015.10,1012.30
04 Jul,25.0,18.4,17.50,12.50,0.00,4.9,0.79,1014.00,1011.90
05 Jul,25.9,19.0,17.10,12.20,0.00,5.8,0.73,1014.50,1012.40
06 Jul,26.7,20.4,19.20,12.70,0.00,6.3,1.02,1016.30,1013.60
07 Jul,28.2,19.9,18.80,12.40,0.00,6.3,1.43,1018.10,1015.00
08 Jul,29.9,20.7,19.00,13.50,0.00,7.6,1.48,1018.40,1015.90
09 Jul,26.9,20.6,19.40,14.60,0.20,13.0,3.80,1017.20,1014.60
10 Jul,26.2,21.3,19.20,17.40,0.00,13.0,4.16,1015.30,1009.90
11 Jul,25.3,20.7,19.70,16.50,1.00,9.4,2.49,1011.30,1008.50
12 Jul,25.4,19.6,21.00,16.00,0.00,5.8,0.82,1012.30,1010.00
13 Jul,29.7,21.6,20.50,17.30,0.00,8.5,1.28,1014.60,1011.50
14 Jul,29.3,21.5,21.50,16.70,0.00,10.3,2.40,1015.20,1012.80
15 Jul,26.6,21.7,21.00,19.20,5.40,12.5,2.64,1013.30,1010.40
16 Jul,27.9,21.6,21.00,18.70,0.00,11.6,2.38,1011.50,1009.30
17 Jul,30.6,22.7,21.60,17.50,0.00,10.7,3.45,1011.40,1009.20
18 Jul,28.8,22.3,21.30,13.90,0.00,13.4,3.82,1012.80,1010.80
19 Jul,28.2,21.7,21.20,17.10,0.00,10.7,2.84,1012.50,1010.50
20 Jul,25.2,22.6,21.10,17.90,0.40,8.0,1.34,1011.90,1010.10
21 Jul,27.2,21.0,21.70,16.40,0.00,8.5,1.70,1013.70,1011.50
22 Jul,30.8,23.2,22.40,16.30,0.00,9.8,2.26,1014.10,1012.20